,policy_area,dataset,variable,year,tract,tract_number,neighborhood,geoid,location,row_id,date,count
1218,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4068, Los Angeles County, California",406800,West Covina,1400000US06037406800,"(34.0629195, -117.953793)",Drinking_Water_Contaminants_2017_1400000US06037406800,2017-01-01T00:00:00.000,824.7285161
1219,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4069.01, Los Angeles County, California",406901,West Puente Valley,1400000US06037406901,"(34.0590435, -117.968603)",Drinking_Water_Contaminants_2017_1400000US06037406901,2017-01-01T00:00:00.000,872.1226324
1220,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4069.02, Los Angeles County, California",406902,West Puente Valley,1400000US06037406902,"(34.056693, -117.964561)",Drinking_Water_Contaminants_2017_1400000US06037406902,2017-01-01T00:00:00.000,868.8067757
1221,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4070.01, Los Angeles County, California",407001,West Puente Valley,1400000US06037407001,"(34.060681, -117.978103)",Drinking_Water_Contaminants_2017_1400000US06037407001,2017-01-01T00:00:00.000,782.3591962
1222,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4070.02, Los Angeles County, California",407002,Industry,1400000US06037407002,"(34.053581, -117.992902)",Drinking_Water_Contaminants_2017_1400000US06037407002,2017-01-01T00:00:00.000,782.3591962
1223,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4071.01, Los Angeles County, California",407101,La Puente,1400000US06037407101,"(34.047535, -117.972437)",Drinking_Water_Contaminants_2017_1400000US06037407101,2017-01-01T00:00:00.000,868.5282326
1224,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4071.02, Los Angeles County, California",407102,La Puente,1400000US06037407102,"(34.0437405, -117.976774)",Drinking_Water_Contaminants_2017_1400000US06037407102,2017-01-01T00:00:00.000,867.4181644
1225,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4072, Los Angeles County, California",407200,La Puente,1400000US06037407200,"(34.0334615, -117.9610665)",Drinking_Water_Contaminants_2017_1400000US06037407200,2017-01-01T00:00:00.000,814.3452827
1226,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4073.01, Los Angeles County, California",407301,West Puente Valley,1400000US06037407301,"(34.0454965, -117.9587185)",Drinking_Water_Contaminants_2017_1400000US06037407301,2017-01-01T00:00:00.000,811.578849
1227,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4073.02, Los Angeles County, California",407302,West Puente Valley,1400000US06037407302,"(34.039506, -117.960844)",Drinking_Water_Contaminants_2017_1400000US06037407302,2017-01-01T00:00:00.000,811.578849
1228,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4074, Los Angeles County, California",407400,West Covina,1400000US06037407400,"(34.0523575, -117.9577655)",Drinking_Water_Contaminants_2017_1400000US06037407400,2017-01-01T00:00:00.000,811.578849
1229,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4075.01, Los Angeles County, California",407501,La Puente,1400000US06037407501,"(34.04734, -117.948319)",Drinking_Water_Contaminants_2017_1400000US06037407501,2017-01-01T00:00:00.000,811.578849
1230,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4075.02, Los Angeles County, California",407502,Valinda,1400000US06037407502,"(34.04334, -117.9385445)",Drinking_Water_Contaminants_2017_1400000US06037407502,2017-01-01T00:00:00.000,811.578849
1231,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4076.01, Los Angeles County, California",407601,La Puente,1400000US06037407601,"(34.0383465, -117.947004)",Drinking_Water_Contaminants_2017_1400000US06037407601,2017-01-01T00:00:00.000,814.5569762
1232,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4076.02, Los Angeles County, California",407602,La Puente,1400000US06037407602,"(34.03063, -117.944401)",Drinking_Water_Contaminants_2017_1400000US06037407602,2017-01-01T00:00:00.000,824.7374927
